name,num_files,bytes,separate_run_millis
Maps,1,3243,2112
Roster,1,2742,647
KeywordsAllowJava,1,1005,1129
TypecheckSignalsOk,1,529,759
Permissions,1,370,998
OptionDomain,1,624,415
DutchNationalFlag,1,1969,2208
TernaryOperator,1,347,741
TicTacToeMatrix,1,7989,3852
QuickSelect,1,7522,1267
HistoryAxioms,1,947,1279
SwapInteger,1,756,776
Boxing,1,222,636
BinarySearch,1,2199,2136
TreeWand,1,4398,906
ZeroArrayIC,1,559,848
QualifiedNames,1,306,673
JavaOverloading,1,510,753
For,1,432,790
ZeroLoop-C,1,419,1109
OverloadedReturn,1,401,699
ParBothWrite,1,251,637
LinkedList,1,6155,2067
RelaxedPrefix,1,1377,1583
BracketIssues,1,225,1089
ZeroArrayLoopPVL,1,655,1828
CPointers,1,1464,1242
SumSeqOfInts,1,456,1419
InnerClass,1,93,592
TestFuture,1,1217,1559
MethodCallNegation,1,194,781
ZeroSubMatrixPar-C,1,1728,1497
CollectionTest,1,458,1569
BadLabeledContract,1,206,638
TestHistory,1,443,1240
RosterFixed,1,1459,874
BasicArray,1,189,619
WaitNotify,3,1949,1421
SetComprehension,1,1034,1427
LFQhistoryImplementation,1,9162,1435
Separate,3,961,726
BarrierWithAtomic,1,969,1846
SimpleThread,3,2134,827
ConstructorError1,1,248,1005
zero-array-c-err,1,422,1148
SimpleLockingProtocol,1,1962,1540
TypecheckTryCatch,1,512,665
DuplicateFieldName,1,477,707
OpenMPzero,1,926,1293
TypecheckThrowsMethodBad,1,222,645
PureThrowsBad,1,197,676
BadTypePVL,1,212,990
Increment,1,316,743
AccessSubMatrix,1,1013,1124
ListAppend,1,3048,1060
Fibonacci,2,2697,957
VerifyThis19TwoA,1,4044,2333
OnlyNew,1,226,672
VerifyThis19TwoB,1,5364,3366
GeneralisedConcurrentCounting,1,2480,1791
BubbleSort,1,2355,1713
FunctionsPVL,1,424,1283
NewClassGhost,1,259,716
SimpleCollectionConstructors,1,650,1601
RefuteUnsat,1,233,678
OpenMPaddSimd,1,1701,1465
MonotonicBoolBroken,1,3944,2979
PureSignalsBad,1,224,761
ParIterWrite,1,243,761
SimpleLtid,1,253,986
NewException,1,163,621
TestCount,1,1614,961
BasicOpenCL,1,543,1102
OnlyExtends,1,144,574
AtomicReadWriteWitnesses,1,1986,612
FibonacciPVL,1,863,1236
ZeroSubArray-C,1,427,1119
SeqSeqLength,1,305,1289
AddAssignJava,1,199,698
WhileInFinally,1,575,877
demo4,1,2236,1744
QuickSelectImpl,2,994,863
CatchTypesIdenticalBad,1,285,657
KeywordsDisallowJavaAssert,1,125,570
SequenceSlicing,1,701,1537
ArrayAsObject,1,268,665
WaitNotifyTestCode,1,394,694
WitnessExample,1,963,1214
Goto3,1,405,810
ConstructorName,1,186,567
VerifyThis19One,1,14745,6949
OpenMPsum,1,1058,990
HistoryApplication,2,1387,992
Goto1,1,261,715
Goto2,1,320,532
IncrementError,1,327,719
ArrayProblemFull,1,2115,1787
SeqItemAccess,1,437,1311
forward-dep-noauto,1,1823,2142
OnlyCatch,1,730,769
ZeroMultiple,4,2928,2389
demo1,1,416,1111
SeqLength,1,254,1041
demo2,1,831,1605
ParBothRead,1,580,1167
TypeError2,1,201,928
ParNestedInvariant,1,755,1301
GivenInPar,1,168,796
RefuteSat,1,358,671
TypeError1,1,165,796
forward-dep-err1,1,775,1260
TreeWandErr,1,4418,963
KeywordsAllowC,1,999,1276
CExampleUse,1,223,995
OpenCLincr,1,441,1214
GoodCustomException,1,232,622
TestFuturePerms,1,1586,1593
InvariantBlockTest,1,1097,1183
Pure,1,238,665
Finally,1,267,634
Test-1-c,1,236,778
OpenMPinit,1,1051,1182
SatCheck_Check,1,2362,1901
TicTacToeInt,1,7728,3641
demo3a-func,1,1469,2051
kernel-example-v2,1,1870,2154
OnlyInstanceof,1,237,671
Knuth_Tabulate,1,1071,816
TreeWand-E1,1,5003,932
OpenMPotherTest,1,787,971
OptionTypeManual,1,569,1042
LabeledStatements,1,557,719
Synchronized,1,397,732
AppendPrepend,1,1471,2111
SummationReduction,1,709,1243
ListAppendASyncDefInline,1,1127,914
FullThread,3,2860,947
HistoryLoop,2,2008,1405
TypeExample1,1,560,679
kernel-example-v3,1,1661,2255
MapsInPVL,1,1708,2505
OpenMPmainTest,1,302,905
RBSingleCellWitnesses,1,4467,716
FractionComparison,1,192,775
HistoryDefined,1,947,1356
DoubleDeclare,1,523,668
GraphReachability,1,2326,2281
ThrowsAndThrow,1,297,666
ExceptionAbortsAssignment,1,401,800
ListsPVL,1,808,2013
FunctionProblemFull,1,422,954
CExampleImpl,1,168,962
BasicNewArray,1,187,807
InvariantParallelAtomic,1,1145,1710
TypecheckSignalsBad,1,198,679
SignalsMustPropagate,1,223,710
BadLoop2,1,407,807
GPGPUExample,1,3798,1497
BadLoop1,1,440,884
TreeRecursiveSilver,1,1095,1000
LocationError2,1,174,950
LocationError1,1,173,771
SignalsExtendsThrowable,1,183,679
OpenMPadd,1,1625,1512
TransposeCopy,1,1140,2299
TestFloat,1,2724,643
forward-dep,1,1930,2275
OpenMPSectionReducedFail1,1,2630,1486
HistogramSubMatrix,1,1755,1782
BoogieExample,1,917,774
ForWithinParallel,1,292,933
OnlyReturn,1,411,722
UnusedCheckedCatchBad,1,241,662
LabeledWhile,1,1275,801
kernel-example,1,1330,2020
LFQhistoryApplication,1,10319,1659
TestHist,1,1290,906
ZeroKernel,1,523,1520
OwickiGries,2,655,1127
WandDemoSilver,1,1105,868
Counter,1,1032,893
ListDomain,1,684,422
InductionSolution,1,502,1280
BasicAssert,1,277,776
SeparateMain,1,273,728
BasicAssert-E1,1,278,813
SwitchVarious,1,2491,751
MultiDimArray,1,704,779
InvokationInGuard,1,394,744
ArrayProblem2Full,1,878,962
ParallelPVLExample1,1,930,1673
HistogramMatrix,1,1859,1920
NoResultInSignals,1,143,664
IncrThread,3,1739,921
ghi,1,984,754
Box,1,400,1598
ListIterator,1,6740,915
Refute3,1,375,789
ParallelWhile,1,1418,1454
Refute4,1,348,778
Refute5,1,376,813
LabeledIf,1,170,651
OwickiGriesMain,1,299,712
ASSSPv4,1,38178,3299
ASSSPv3,1,1390,1503
MultiIncrement,1,2153,971
BasicCuda,1,325,1055
GPGPUExampleUpdates,1,2968,1718
WitnessDemo,1,1640,838
TypecheckThrowsThrowBad,1,204,657
ExpHoareLogic,1,633,982
ASSSP,1,47057,3615
ReturnFinally,1,627,805
PrecedingGarbage,1,133,537
OpenMPSectionReduced,1,2645,1515
PostfixIncrement,1,381,766
SingleCellWitnesses,1,2945,969
Semaphore,1,4778,623
ConcurrentCounting,1,1268,1736
FrameError1,1,330,1051
Abrupt,1,1231,829
ReentLock,1,6193,682
BoogieTest,1,1201,791
GapBuffer,1,6666,3373
TestScale,1,398,793
LoopPVL,2,855,1339
Refute1,1,274,704
Refute2,1,300,732
demo3d,1,1897,2398
demo3c,1,680,1458
demo3b,1,478,1509
demo3a,1,488,1731
relaxed_prefix,1,9369,2648
IntegerList,1,2767,1009
CastExample,1,1526,954
CounterState,1,3462,805
TreeStack,1,3580,1036
OpenMPcopy,1,1145,1395
Twice,1,641,676
ZeroSubMatrix-C,1,1054,1508
SeqImmutable,1,237,1381
NewRuntimeException,1,177,626
ParPointerSimplification,1,217,1084
JavaArrayExamples,1,3395,1107
ArrayItemAccess,1,565,1746
Frac2,1,156,804
SeparateUtil,1,262,744
Frac1,1,156,779
TrailingGarbage,1,132,588
CountDownLatch,1,4462,598
TestFork,1,218,816
TestValue2,1,390,848
TestValue1,1,330,841
LeastCommonPrefix,1,1003,1615
ProdConsWitnesses,1,3942,699
DepositWithdrawLockWitnesses,1,3099,901
LeaderElect,1,16237,7133
MinMaxList,1,1092,1722

